Cluster,Component Label,Summarized by Tools,"Most Common Verbs, Nouns Adjectives"
PROC0010,Assign boolean or null value to a variable,"Add current check. it performs actions like add, remove, result, return, and value; focused on entities such as check, datum, disable, file, flag, hide, list, mark, message, method, object, parameter, path, and property; characterized as current, enable, false, iterate, new, null, reset, set, true.",add check current datum disable enable false file flag hide iterate list mark message method new null object parameter path property remove reset result return set string text true value
PROC0011,Validate List and Throw Error Exception as well as approrpriate error code then Log the error message,"Call current add. it performs actions like call, contain, create, find, give, set, throw, and write; focused on entities such as add, check, code, collection, error, fail, field, file, invalidoperationexception, list, log, message, object, pattern, return, and status; characterized as current, new.",add call check code collection contain create current error exception fail field file find give invalidoperationexception list log message new object pattern return set status string throw user value write
PROC0012,Logical to Check for a Null Value,"Enable false address. it performs actions like enable, get, return, and set; focused on entities such as address, attribute, call, check, code, extension, home, instance, message, number, object, property, reply, and resource; characterized as false, non, null, terminal, true.",address attribute call check code enable extension false get home instance message non null number object property reply resource return server set status terminal time true user value version vertex
PROC0013,"Assign numeric, hex and simple math operation value to a variable","Result current add. it performs actions like result, return, string, and sum; focused on entities such as add, array, bit, buffer, byte, datum, element, flag, index, item, list, mark, object, and property; characterized as current, enable, false, new, null, reset, set, true, visible.",add array bit buffer byte current datum disable element enable false flag index item list mark new null object property reset result return set string sum true type value visible
PROC0014,"Assign values as a result of a calculation, count, file index with any data type","Create current calculate. it performs actions like create, get, read, return, and set; focused on entities such as calculate, code, count, file, hash, index, item, list, node, number, object, path, property, and result; characterized as current, key, new, null.",calculate code count create current file get hash index item key list new node null number object path property read result return set source string text type user value version
PROC0015,Calling an internal function to adjust the object behavior following the given input arguments,"Add current assert. it performs actions like add, create, request, return, set, and throw; focused on entities such as assert, attribute, byte, call, check, event, exception, item, list, message, method, number, object, property, and register; characterized as current, new, null, true.",add assert attribute byte call check create current event exception item list message method new null number object property register request return service set string throw true type user value
PROC0016,"HTTP API Call including POST, GET with return JSON, XML or Bytes","Create current api. it performs actions like create, get, give, return, and send; focused on entities such as api, attribute, context, element, file, instance, item, list, message, object, path, point, property, request, and response; characterized as current, key, new, set.",api attribute context create current element file get give instance item key list message new object path point property request response return send server service set string type user value
PROC0017,"Retrieve File Info, metadata, structure through XML, JSON, Assembly Reflection and custom methods","Find current build. it performs actions like find, get, give, request, return, set, and type; focused on entities such as build, create, file, index, instance, item, list, number, parameter, parse, path, position, and property; characterized as current, delete, key, new, object, read, true.",build create current delete file find get give index instance item key list new number object parameter parse path position property read request return set stream string true type value
PROC0018,"Lambda Query Search, Filter and Find","Contain abstract array. it performs actions like contain, find, give, query, and return; focused on entities such as array, child, collection, element, entity, field, filter, group, instance, item, list, message, method, object, and order; characterized as abstract, key, new, select.",abstract array child collection contain element entity field filter find give group instance item key list message method new object order parent query queryset result return select type user value
PROC0019,"String Literal Expression, Operation, Concatinations and Assigment","Create current add. it performs actions like create, return, and set; focused on entities such as add, append, array, character, default, element, end, item, list, node, object, query, quote, remove, and replace; characterized as current, new, non, null, true.",add append array character create current default element end item list new node non null object query quote remove replace result return set space string task true type value version
PROC0020,"Throw invalid argument, parameters, index, IO exception","Add fail argument. it performs actions like add, give, require, return, set, throw, update, and value; focused on entities such as argument, check, create, exception, file, instance, invalidoperationexception, list, message, method, object, parameter, and property; characterized as fail, invalid, key, new, null, true.",add argument check create exception fail file give instance invalid invalidoperationexception key list message method new null object parameter property require return serialization set string throw true type update value
PROC0021,Initialize UI Components,"Create new add. it performs actions like create, initialize, set, and window; focused on entities such as add, bar, box, button, checkbox, column, datagridviewtextboxcolumn, display, form, header, item, label, margin, menu, method, and number; characterized as new, select.",add bar box button checkbox column create datagridviewtextboxcolumn display form header initialize item label margin menu method new number padding progress radio select set system text toolstrip toolstripseparator user window
PROC0022,Assign bytes which one part of the math calculation derived from particular numerical scalar expression,"Add create assert. it performs actions like add, require, set, and update; focused on entities such as assert, byte, column, context, element, file, item, list, message, method, object, property, result, and return; characterized as create, current, false, new, null, true, write.",add assert byte column context create current element false file item list message method new null object property require result return service set stream string true type update value write
PROC0023,"Assign an object variable with a functional object including CryptoProvider, DateTime operation, connection object, and custom call back","Create current array. it performs actions like create, initialize, read, request, result, return, and set; focused on entities such as array, code, date, datum, end, field, file, instance, item, list, method, number, point, and property; characterized as current, new, null, object.",array code create current date datum end field file initialize instance item list method new null number object point property read request result return set source string type user value
PROC0024,Execute a callback after get data events occures,"Call new add. it performs actions like call, give, return, set, target, and throw; focused on entities such as add, array, check, command, create, element, exception, file, filter, item, list, method, object, property, and range; characterized as new, null, select, true, write.",add array call check command create element exception file filter give item list method new null object property range return select set string target throw true type user value write
PROC0025,Prepare parameters object for a function,"Get current array. it performs actions like get, read, result, return, and set; focused on entities such as array, calculate, character, create, date, datum, field, file, item, list, method, number, object, parameter, position, and property; characterized as current, new, token.",array calculate character create current date datum field file get item list method new number object parameter position property read result return set stream string table time token type value
PROC0026,Variable Declaration and Object Creation through new initialization,"Create current builder. it performs actions like create, get, and return; focused on entities such as builder, class, constructor, datum, entity, file, function, instance, item, list, matrix, message, object, output, process, and property; characterized as current, new, set.",builder class constructor create current datum entity file function generate get instance item list matrix message new object output process property result return set string stringbuilder text time type vector
PROC0027,Asset and Log Information and Warning of important function call,"Call current add. it performs actions like call, create, return, set, and value; focused on entities such as add, append, assert, buffer, check, error, function, instance, item, list, log, message, method, object, parameter, and result; characterized as current, insert, new, true, verbose, write.",add append assert buffer call check create current error function insert instance item list log message method new object parameter result return segment set text true type value verbose write
PROC0028,Validate and Handle Error Exception causing by a message request,"Call current add. it performs actions like call, create, find, give, and send; focused on entities such as add, argument, check, error, file, invalidoperationexception, log, message, method, parameter, range, request, return, set, and throw; characterized as current, invalid, multiple, new, object, true, write.",add argument call check create current error exception file find give invalid invalidoperationexception log message method multiple new object parameter range request return send set throw true type value write
PROC0029,"Configure User Interface, enabling or disabling some features, and also setting some string labels","Call false box. it performs actions like call, click, declare, set, and use; focused on entities such as box, button, class, color, column, constructor, description, display, file, item, label, menu, method, property, radio, and service; characterized as false, true, usecompatiblestateimagebehavior, visual.",box button call class click color column constructor declare description display false file item label menu method property radio service set style text toolstrip true use usecompatiblestateimagebehavior user usevisualstylebackcolor visual
PROC0030,"Initiate to run application including setup, object registration, and User-Interface configuration","Register create add. it performs actions like register, result, return, set, and update; focused on entities such as add, application, assert, check, event, file, item, list, message, method, object, property, and read; characterized as create, current, enable, false, new, null, run, true.",add application assert check create current enable event false file item list message method new null object property read register result return run service set string text true update value
PROC0031,Function to setup and tidy-up User-Interface configuration,"Call click add. it performs actions like call, middlecenter, return, and set; focused on entities such as add, alignment, border, box, button, center, change, check, color, contentalignment, draw, event, handler, image, index, and label; characterized as click, middle, middleleft, textalign, transparent.",add alignment border box button call center change check click color contentalignment draw event handler image index label method middle middlecenter middleleft return set style system text textalign transparent user
PROC0032,Retrieve Data API Response from HTTP API Call including POST and GET,"Get delete account. it performs actions like get, read, report, rule, and schedule; focused on entities such as account, analysis, async, attribute, create, item, job, list, member, method, model, namespace, pipeline, policy, and post; characterized as delete, moid, queue.",account analysis async attribute create delete get item job list member method model moid namespace pipeline policy post queue read report response rule schedule security template time transaction update user
PROC0033,Prepare and validate object to display on the user-interface,"Call current add. it performs actions like call, give, return, run, trash, and value; focused on entities such as add, append, collection, command, create, dog, element, end, file, item, line, list, method, object, and query; characterized as current, equal, new, null, select, set, true, write.",add append call collection command create current dog element end equal file give item line list method new null object query return run select set test trash true value write
PROC0034,Prepare conventional parameters types for HTTP Request,"Add current check. it performs actions like add, call, create, and stream; focused on entities such as check, command, datum, file, function, header, item, list, message, method, request, response, return, service, and set; characterized as current, false, key, new, true, write.",add asynchronously call check command create current datum false file function header item key list message method new request response return service set stream string text true type value write
PROC0035,Initialize UI Event Handlers,"Call add border. it performs actions like call, dialogresult, draw, scrollbar, text, and window; focused on entities such as border, box, button, cancel, change, check, color, dialog, event, fill, flatstyle, form, handler, and label; characterized as add, click, dock, set, transparent.",add border box button call cancel change check click color dialog dialogresult dock draw event fill flatstyle form handler label list method scrollbar set style system text transparent user window
PROC0036,Update Data to Database,"Add invoice address. it performs actions like add, create, delete, return, set, and update; focused on entities such as address, book, classroom, client, comment, customer, detail, information, metric, order, patient, person, product, reservation, and result; characterized as invoice, new.",add address book classroom client comment create customer delete detail information invoice metric new order patient person product reservation result return row sale set state student table update user
PROC0037,Prepare Exception Handling during the Update Data to Database Operations,"Post create account. it performs actions like post, request, return, template, throw, and update; focused on entities such as account, action, array, category, document, entry, exception, group, instance, label, license, list, and operation; characterized as create, delete, invoice, queue.",account action array category create delete document entry exception group instance invoice label license list operation pipeline post profile project queue request return setting task template throw transaction update user
PROC0038,Prepare parameters value as an instruction for particulars functions,"Create current add. it performs actions like create, give, set, throw, and write; focused on entities such as add, check, codeinstruction, command, element, error, file, instance, instruction, list, log, message, object, property, return, and scene; characterized as current, new, token, true.",add check codeinstruction command create current element error exception file give instance instruction list log message new object property return scene set string throw token true type user value write
PROC0039,Assert comparison function of some values,"Return add append. it performs actions like return, set, type, update, and write; focused on entities such as append, assert, buffer, check, child, error, event, field, file, item, list, log, message, method, node, and number; characterized as add, current, equal, new, right.",add append assert buffer check child current equal error event field file item list log message method new node number property return right set string text type update value write
PROC0040,Perform increament on a variables,"Generate iterate array. it performs actions like generate, initialize, reset, return, and store; focused on entities such as array, bit, building, camera, column, element, field, function, group, image, index, input, integer, item, and list; characterized as iterate, new, random.",array bit building camera column element field function generate group image index initialize input integer item iterate list method model new number point random reset return series store table value
PROC0041,Initialize User-interfaces components,"Add new box. it performs actions like add, call, close, create, initialize, set, toolstrip, and window; focused on entities such as box, button, column, constructor, control, datagridviewtextboxcolumn, display, file, form, handler, item, label, menu, method, panel, and property; characterized as new, select.",add box button call close column constructor control create datagridviewtextboxcolumn display file form handler initialize item label menu method new panel property select set system table text toolstrip user window
PROC0042,Prepare and get metadata,"Add current action. it performs actions like add, create, get, give, set, and type; focused on entities such as action, collection, file, function, instance, item, list, method, node, object, property, read, result, and return; characterized as current, dictionary, key, new.",action add asynchronously collection create current dictionary file function get give instance item key list method new node object property read result return set span string type user value window
PROC0043,Throw argument null exceptions and get the object type of the instance that causing an error,"Throw key argument. it performs actions like , and throw; focused on entities such as argument, argumentnullexception, context, destination, exception, factory, file, list, message, method, parameter, path, predicate, property, and query; characterized as key, null, virtual.",argument argumentnullexception context destination exception factory file key list message method null parameter path predicate property query request rule selector source stream subscription target throw transaction type url value virtual
PROC0044,Declare variables and assign default values,"Create current calculate. it performs actions like create, get, give, path, and return; focused on entities such as calculate, coordinate, default, directory, distance, file, function, index, input, item, list, message, method, and object; characterized as current, false, key, local, new, node, set, true.",calculate coordinate create current default directory distance false file function get give index input item key list local message method new node object path property return set string true value
PROC0045,Invoke a function to get array values,"Contain char address. it performs actions like contain, list, object, read, return, and utf; focused on entities such as address, array, buffer, byte, content, convert, copy, datum, file, function, hash, header, image, and input; characterized as char, current, encode, key.",address array buffer byte char contain content convert copy current datum encode file function hash header image input key list message name object read return stream string text utf value
PROC0046,Calculate Get and considering dimensions values,"Add current collection. it performs actions like add, create, get, give, type, and update; focused on entities such as collection, exception, file, function, instance, list, method, object, position, property, read, result, return, and set; characterized as current, false, key, new, null, true.",add asynchronously collection create current exception false file function get give instance key list method new null object position property read result return set string true type update user value
PROC0047,Initiate User-Interface Handlers on dimensions changed,"Call click add. it performs actions like call, size, and window; focused on entities such as add, autosize, box, button, change, color, column, columnheadersheightsizemode, datagridview, display, fill, form, handler, image, and item; characterized as click, fullrowselect, select, set.",add autosize box button call change click color column columnheadersheightsizemode datagridview display fill form fullrowselect handler image item menu method mode select selection set size style system text toolstrip window
PROC0048,Initialize new UI Components in a page/panel/form,"Call new box. it performs actions like call, create, result, set, and window; focused on entities such as box, button, check, checkbox, column, display, file, form, header, initialize, item, label, list, menu, method, and object; characterized as new, username.",box button call check checkbox column create display file form header initialize item label list menu method new object property result set system table text textbox toolstrip user username window
PROC0049,Equality comparison of some values,"Give current add. it performs actions like give, object, result, return, set, sum, and value; focused on entities such as add, array, byte, check, code, create, element, hash, input, instance, item, list, and method; characterized as current, equal, false, new, null, true.",add array byte check code create current element equal false give hash input instance item list method new null object point property result return set string sum true type value
PROC0050,Throw new Invalid Operation Exception,"Create available add. it performs actions like create, fail, find, give, and support; focused on entities such as add, argument, argumentoutofrangeexception, context, exception, file, function, invalidoperationexception, list, method, missingmethodexception, object, parameter, range, request, return, stream, throw, type, and value; characterized as available, invalid, new, null, set.",add argument argumentoutofrangeexception available context create exception fail file find function give invalid invalidoperationexception list method missingmethodexception new null object parameter range request return set stream support throw type value
PROC0051,Assert the equality of two numeric values,"Add current array. it performs actions like add, and set; focused on entities such as array, assert, breadthfirstitem, buffer, cache, check, content, copy, count, element, item, length, list, listresult, matrix, node, number, order, post, result, return, root, string, test, tree, and value; characterized as current, equal.",add array assert breadthfirstitem buffer cache check content copy count current element equal item length list listresult matrix node number order post result return root set string test tree value
PROC0052,Throw out of range exception,"Add equal argument. it performs actions like add, create, give, and provide; focused on entities such as argument, argumentoutofrangeexception, collection, command, datum, exception, file, index, item, number, object, range, set, size, source, string, text, throw, and value; characterized as equal, great, negative, new, null, offset.",add argument argumentoutofrangeexception collection command create datum equal exception file give great index item length negative new null number object offset provide range set size source string text throw value
PROC0053,Declare string empty variables,"Create current byte. it performs actions like create, and get; focused on entities such as byte, coordinate, distance, dot, element, file, height, index, item, line, list, number, object, point, position, product, read, return, set, size, stream, string, text, value, and width; characterized as current, new.",byte coordinate create current distance dot element file get height index item length line list new number object point position product read return set size stream string text value width
PROC0054,Set User-interface component's size and label,"Add compare activate. it performs actions like add, call, create, and send; focused on entities such as activate, box, button, class, event, file, height, initialize, label, list, method, object, request, return, row, server, set, size, template, text, type, and value; characterized as compare, current, new, true.",activate add box button call class compare create current event file height initialize label list method new object request return row send server set size template text true type value
PROC0055,Declare list variable and assigne default empty list,"Create key action. it performs actions like , and create; focused on entities such as action, assembly, class, database, edge, entity, file, instance, item, list, member, object, package, point, queue, result, return, set, stack, symbol, table, task, type, user, value, and vertex; characterized as key, mock, new.",action assembly class create database edge entity file instance item key list member mock new object package point queue result return set stack symbol table task type user value vertex
PROC0056,Declare array variable without assigment value,"Contain double array. it performs actions like contain, and create; focused on entities such as array, buffer, byte, content, datum, field, file, hash, length, line, list, message, method, name, number, object, output, param, point, return, set, string, type, and value; characterized as double, key, new, true.",array buffer byte contain content create datum double field file hash key length line list message method name new number object output param point return set string true type value
PROC0057,Declare numeric variable and assign default value,"Create current array. it performs actions like create, get, and give; focused on entities such as array, block, byte, character, count, default, element, height, index, item, list, node, number, object, parameter, point, position, property, return, set, size, string, type, and value; characterized as current, maximum, new.",array block byte character count create current default element get give height index item list maximum new node number object parameter point position property return set size string type value
PROC0058,Initialize User-Interface Libraries,"Call current add. it performs actions like call, create, and give; focused on entities such as add, assert, attribute, check, color, element, error, file, list, log, message, method, moment, object, palette, path, position, property, request, result, return, type, and value; characterized as current, new, set, true.",add assert attribute call check color create current element error file give list log message method moment new object palette path position property request result return set true type value
PROC0059,Throw argument null exceptions,"Set key action. it performs actions like set, and throw; focused on entities such as action, argument, argumentnullexception, claim, command, entry, exception, file, item, list, method, object, option, parameter, path, request, source, state, stream, target, task, text, type, user, and value; characterized as key, null, safe.",action argument argumentnullexception claim command entry exception file item key list method null object option parameter path request safe set source state stream target task text throw type user value
PROC0060,Prepare function parameters and log it before calling the funcitons,"Add create case. it performs actions like add, apply, call, and send; focused on entities such as case, code, command, error, header, list, log, message, method, object, operator, parameter, query, remove, request, result, return, schema, set, string, type, and value; characterized as create, current, new, true.",add apply call case code command create current error header list log message method new object operator parameter query remove request result return schema send set string true type value
PROC0061,Assigne numeric value to a variable,"Add axis array. it performs actions like , and add; focused on entities such as array, assert, border, byte, cursor, datum, default, file, height, index, item, line, list, number, object, position, return, screen, set, stream, string, value, and width; characterized as axis, current, new, read, reset, true.",add array assert axis border byte current cursor datum default file height index item line list new number object position read reset return screen set stream string true value width
PROC0062,Assert the expected value and throw exception if containing unexpected results,"Add current append. it performs actions like add, create, and give; focused on entities such as append, array, assert, check, exception, file, item, line, list, method, object, range, register, result, return, set, string, text, throw, update, and value; characterized as current, equal, new, null, true, write.",add append array assert check create current equal exception file give item line list method new null object range register result return set string text throw true update value write
PROC0063,Apply User-Interface Configurations,"Call invalid add. it performs actions like call, create, and give; focused on entities such as add, argument, argumentexception, change, event, exception, field, file, list, log, message, object, parse, property, range, return, set, string, throw, type, user, value, and write; characterized as invalid, new, null, true.",add argument argumentexception call change create event exception field file give invalid list log message new null object parse property range return set string throw true type user value write
PROC0064,Read file into array list and perform some index search based on retrieved file information,"Calculate current create. it performs actions like calculate, get, and give; focused on entities such as create, directory, file, find, index, instance, item, list, message, number, object, parameter, path, point, position, property, request, return, set, string, type, user, and value; characterized as current, new, read, true.",calculate create current directory file find get give index instance item list message new number object parameter path point position property read request return set string true type user value
PROC0065,Create object parameters,"Create current builder. it performs actions like create, initialize, and set; focused on entities such as builder, class, constructor, document, ecd, ecr, eqlsegment, erq, error, group, iamsegment, instance, ipcsegment, label, list, method, object, return, segment, stopwatch, string, and xml; characterized as current, datatable, isegment, key, new.",builder class constructor create current datatable document ecd ecr eqlsegment erq error group iamsegment initialize instance ipcsegment isegment key label list method new object return segment set stopwatch string xml
PROC0066,Return Http Response in an API,"Add current convert. it performs actions like add, call, give, and write; focused on entities such as convert, create, datum, event, file, function, handler, instance, item, list, object, read, result, return, set, stream, string, type, update, user, value, and view; characterized as current, new, null, true.",add call convert create current datum event file function give handler instance item list new null object read result return set stream string true type update user value view write
PROC0067,Initiate new object whereas the object contains data and methods,"Create current convert. it performs actions like create, find, get, give, read, and set; focused on entities such as convert, datum, element, file, index, instance, item, list, number, object, parse, path, property, request, response, return, stream, string, type, and value; characterized as current, key, new, node.",convert create current datum element file find get give index instance item key list new node number object parse path property read request response return set stream string type value
PROC0068,"Convert, assign and calculate numeric value","Add convert append. it performs actions like add, assert, and create; focused on entities such as append, array, buffer, byte, check, datum, function, index, item, list, log, message, object, page, position, result, return, set, string, type, and value; characterized as convert, current, key, new, null, true.",add append array assert buffer byte check convert create current datum function index item key list log message new null object page position result return set string true type value
PROC0069,Object and Datatype Conditional Comparison checking,"Add current array. it performs actions like add, and create; focused on entities such as array, bit, buffer, byte, check, element, end, item, length, list, lock, number, object, output, point, representation, result, return, set, string, type, and value; characterized as current, false, key, new, null, true.",add array bit buffer byte check create current element end false item key length list lock new null number object output point representation result return set string true type value
PROC0070,"Save, Write and process numbers and bytes","Add current buffer. it performs actions like add, call, create, give, and save; focused on entities such as buffer, element, event, file, generate, handler, item, line, list, member, message, node, object, return, set, state, stream, string, and value; characterized as current, new, read, true, write.",add buffer call create current element event file generate give handler item line list member message new node object read return save set state stream string true value write writer
PROC0071,Initiate service/functional object into a declared object variable that will be used to call a funtions,"Create current array. it performs actions like create, get, and give; focused on entities such as array, buffer, byte, calculate, character, cronscheduler, element, file, index, item, length, list, node, number, object, path, property, return, set, string, type, and value; characterized as current, key, new, token, true.",array buffer byte calculate character create cronscheduler current element file get give index item key length list new node number object path property return set string token true type value
PROC0072,Declare data variables and assign values from a function call results.,"Create current datum. it performs actions like create, get, give, and read; focused on entities such as datum, file, image, index, instance, item, list, message, method, number, object, path, property, return, set, size, stream, string, target, type, and value; characterized as current, key, new, token, true.",create current datum file get give image index instance item key list message method new number object path property read return set size stream string target token true type value
PROC0073,Call a function to modify data list based on numeric input parameters,"Add current attribute. it performs actions like add, create, get, give, throw, and write; focused on entities such as attribute, byte, element, exception, file, item, lambda, list, log, map, message, method, object, return, set, stream, string, tuple, type, and value; characterized as current, key, new, true.",add attribute byte create current element exception file get give item key lambda list log map message method new object return set stream string throw true tuple type value write
PROC0074,Trace and Create Logs of a function call,"Add current append. it performs actions like add, call, and create; focused on entities such as append, assert, check, client, color, error, invoke, item, list, log, message, method, object, request, result, return, set, start, state, string, table, trace, type, and value; characterized as current, new, true.",add append assert call check client color create current error invoke item list log message method new object request result return set start state string table trace true type value
PROC0075,Assign numeric value with a simple math expression and/or function call,"Create current add. it performs actions like create, give, and read; focused on entities such as add, calculate, convert, datum, file, index, initialize, instance, item, list, object, parse, path, position, property, result, return, set, stream, string, text, type, and value; characterized as current, key, new, token.",add calculate convert create current datum file give index initialize instance item key list new object parse path position property read result return set stream string text token type value
PROC0076,Initialize and setup Fonts components of User-Interface components,"Draw algerian box. it performs actions like draw, and use; focused on entities such as box, button, calibri, courier, default, help, label, meiryo, message, result, san, serif, start, status, system, text, time, and title; characterized as algerian, arial, bold, font, fontmicrosoft, new, regular, set, tahoma.",algerian arial bold box button calibri courier default draw font fontmicrosoft fontstyle help label meiryo message new regular result san serif set start status system tahoma text time title use
PROC0077,Get an update and assign the update result to a declared variable,"Calculate current byte. it performs actions like calculate, create, get, and give; focused on entities such as byte, component, element, end, file, hash, index, instance, item, length, list, number, object, path, position, read, request, return, set, string, and value; characterized as current, key, new, node, true.",byte calculate component create current element end file get give hash index instance item key length list new node number object path position read request return set string true value
PROC0078,Proceed a numerical value and return the result as an object result to a variable,"Add current array. it performs actions like add, call, create, and give; focused on entities such as array, bit, buffer, byte, check, element, input, list, method, number, object, page, parameter, point, property, result, return, set, string, type, and value; characterized as current, false, new, null, true.",add array bit buffer byte call check create current element false give input list method new null number object page parameter point property result return set string true type value
PROC0079,Declare a new list object with empty list,"Create current array. it performs actions like create, and get; focused on entities such as array, byte, class, collection, datum, default, element, file, index, instance, item, list, member, method, node, number, object, path, position, property, return, set, task, type, user, and value; characterized as current, new.",array byte class collection create current datum default element file get index instance item list member method new node number object path position property return set task type user value
